,0
0,-56.34999999999996
1,-58.12499999999996
2,-55.049999999999976
3,-53.224999999999966
4,-30.94999999999998
5,-49.54999999999997
6,-36.74999999999996
7,-67.74999999999996
8,-32.47499999999996
9,-54.07499999999996
