,0,1,2,3,4,5,6,7,8,9
0,-70.0,-70.0,-40.0,-30.0,88.0,-30.0,-22.0,-80.0,-60.0,-60.0
1,-40.0,-60.0,-60.0,-80.0,-40.0,-60.0,-10.0,-90.0,74.0,-40.0
2,-70.0,-50.0,-80.0,-30.0,-40.0,-20.0,-70.0,-60.0,-60.0,-60.0
3,-70.0,-60.0,-60.0,-90.0,-60.0,-90.0,-60.0,-50.0,-70.0,-70.0
4,59.20000000000033,55.00000000000032,79.6000000000002,74.20000000000024,84.40000000000015,73.60000000000025,58.00000000000033,18.000000000000327,56.20000000000032,57.400000000000325
5,-100.0,-100.0,-100.0,-90.0,-100.0,-90.0,-100.0,-100.0,-80.0,-100.0
6,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-100.0,-30.0,-70.0
7,-90.0,-80.0,-80.0,-80.0,-80.0,-80.0,-10.0,-80.0,-90.0,-90.0
